"species","class","order","family","source"
"Ameivula abaetensis","Reptilia","Squamata","Teiidae","faunabr"
"Cerradomys maracajuensis","Mammalia","Rodentia","Cricetidae","faunabr"
"Callicebus pallescens","Mammalia","Primates","Pitheciidae","faunabr"
"Oligoryzomys rupestris","Mammalia","Rodentia","Cricetidae","faunabr"
"Leptodactylus viridis","Amphibia","Anura","Leptodactylidae","faunabr"
"Mico melanurus","Mammalia","Primates","Cebidae","faunabr"
"Rhipidomys emiliae","Mammalia","Rodentia","Cricetidae","faunabr"
"Marmosops ocellatus","Mammalia","Didelphimorphia","Didelphidae","faunabr"
"Amphisbaena bedai","Reptilia","Squamata","Amphisbaenidae","faunabr"
"Phalotris concolor","Reptilia","Squamata","Dipsadidae","faunabr"
"Psomophis obtusus","Reptilia","Squamata","Dipsadidae","faunabr"
"Coendou prehensilis","Mammalia","Rodentia","Erethizontidae","faunabr"
"Lionycteris spurrelli","Mammalia","Chiroptera","Phyllostomidae","faunabr"
"Euryoryzomys lamia","Mammalia","Rodentia","Cricetidae","faunabr"
"Amphisbaena maranhensis","Reptilia","Squamata","Amphisbaenidae","faunabr"
"Cyclopes didactylus","Mammalia","Pilosa","Cyclopedidae","faunabr"
"Deltamys kempi","Mammalia","Rodentia","Cricetidae","faunabr"
"Sapajus xanthosternos","Mammalia","Primates","Cebidae","faunabr"
"Marmosa paraguayana","Mammalia","Didelphimorphia","Didelphidae","faunabr"
"Leptodactylus mystaceus","Amphibia","Anura","Leptodactylidae","faunabr"
"Siphlophis pulcher","Reptilia","Squamata","Dipsadidae","faunabr"
"Hylaeamys yunganus","Mammalia","Rodentia","Cricetidae","faunabr"
"Calomys callosus","Mammalia","Rodentia","Cricetidae","faunabr"
"Philander opossum","Mammalia","Didelphimorphia","Didelphidae","faunabr"
"Trinomys setosus","Mammalia","Rodentia","Echimyidae","faunabr"
"Dermochelys coriacea","Reptilia","Testudines","Dermochelyidae","faunabr"
"Callicebus nigrifrons","Mammalia","Primates","Pitheciidae","faunabr"
"Paleosuchus palpebrosus","Reptilia","Crocodylia","Alligatoridae","faunabr"
"Oecomys cleberi","Mammalia","Rodentia","Cricetidae","faunabr"
"Leptodactylus cupreus","Amphibia","Anura","Leptodactylidae","faunabr"
"Siphlophis leucocephalus","Reptilia","Squamata","Dipsadidae","faunabr"
"Makalata didelphoides","Mammalia","Rodentia","Echimyidae","faunabr"
"Thamnodynastes rutilus","Reptilia","Squamata","Dipsadidae","faunabr"
"Gastrotheca flamma","Amphibia","Anura","Hemiphractidae","faunabr"
"Trinomys yonenagae","Mammalia","Rodentia","Echimyidae","faunabr"
"Amphisbaena dubia","Reptilia","Squamata","Amphisbaenidae","faunabr"
"Melanophryniscus admirabilis","Amphibia","Anura","Bufonidae","faunabr"
"Micrurus silviae","Reptilia","Squamata","Elapidae","faunabr"
"Amphisbaena littoralis","Reptilia","Squamata","Amphisbaenidae","faunabr"
"Chelus fimbriatus","Reptilia","Testudines","Chelidae","faunabr"
"Callicebus coimbrai","Mammalia","Primates","Pitheciidae","faunabr"
"Artibeus bogotensis","Mammalia","Chiroptera","Phyllostomidae","faunabr"
"Oligoryzomys chacoensis","Mammalia","Rodentia","Cricetidae","faunabr"
"Rhinella azarai","Amphibia","Anura","Bufonidae","faunabr"
"Saguinus ursula","Mammalia","Primates","Cebidae","faunabr"
"Thrichomys inermis","Mammalia","Rodentia","Echimyidae","faunabr"
"Phalotris nasutus","Reptilia","Squamata","Dipsadidae","faunabr"
"Leptodactylus natalensis","Amphibia","Anura","Leptodactylidae","faunabr"
"Phyllomys unicolor","Mammalia","Rodentia","Echimyidae","faunabr"
"Amphisbaena silvestrii","Reptilia","Squamata","Amphisbaenidae","faunabr"
"Amphisbaena leeseri","Reptilia","Squamata","Amphisbaenidae","faunabr"
"Marmosops bishopi","Mammalia","Didelphimorphia","Didelphidae","faunabr"
"Elapomorphus wuchereri","Reptilia","Squamata","Dipsadidae","faunabr"
"Phyllomys kerri","Mammalia","Rodentia","Echimyidae","faunabr"
"Taeniophallus brevirostris","Reptilia","Squamata","Dipsadidae","faunabr"
"Amphisbaena talisiae","Reptilia","Squamata","Amphisbaenidae","faunabr"
"Hylaeamys seuanezi","Mammalia","Rodentia","Cricetidae","faunabr"
"Didelphis marsupialis","Mammalia","Didelphimorphia","Didelphidae","faunabr"
"Platyrrhinus incarum","Mammalia","Chiroptera","Phyllostomidae","faunabr"
"Aplastodiscus eugenioi","Amphibia","Anura","Hylidae","faunabr"
"Aplastodiscus weygoldti","Amphibia","Anura","Hylidae","faunabr"
"Leposternon polystegum","Reptilia","Squamata","Amphisbaenidae","faunabr"
"Amphisbaena arenaria","Reptilia","Squamata","Amphisbaenidae","faunabr"
"Amphisbaena vermicularis","Reptilia","Squamata","Amphisbaenidae","faunabr"
"Tupinambis quadrilineatus","Reptilia","Squamata","Teiidae","faunabr"
"Apostolepis tertulianobeui","Reptilia","Squamata","Dipsadidae","faunabr"
"Lioheterophis iheringii","Reptilia","Squamata","Dipsadidae","faunabr"
"Guerlinguetus aestuans","Mammalia","Rodentia","Sciuridae","faunabr"
"Gastrotheca fissipes","Amphibia","Anura","Hemiphractidae","faunabr"
"Leopardus tigrinus","Mammalia","Carnivora","Felidae","faunabr"
"Akodon reigi","Mammalia","Rodentia","Cricetidae","faunabr"
"Cebus kaapori","Mammalia","Primates","Cebidae","faunabr"
"Callicebus barbarabrownae","Mammalia","Primates","Pitheciidae","faunabr"
"Rhipidomys tribei","Mammalia","Rodentia","Cricetidae","faunabr"
"Oxybelis aeneus","Reptilia","Squamata","Colubridae","faunabr"
"Ctenomys minutus","Mammalia","Rodentia","Ctenomyidae","faunabr"
"Micrurus tricolor","Reptilia","Squamata","Elapidae","faunabr"
"Natalus macrourus","Mammalia","Chiroptera","Natalidae","faunabr"
"Leptodactylus syphax","Amphibia","Anura","Leptodactylidae","faunabr"
"Callithrix geoffroyi","Mammalia","Primates","Cebidae","faunabr"
"Amphisbaena miringoera","Reptilia","Squamata","Amphisbaenidae","faunabr"
"Saccopteryx leptura","Mammalia","Chiroptera","Emballonuridae","faunabr"
"Micrurus pyrrhocryptus","Reptilia","Squamata","Elapidae","faunabr"
"Trinomys moojeni","Mammalia","Rodentia","Echimyidae","faunabr"
"Gracilinanus microtarsus","Mammalia","Didelphimorphia","Didelphidae","faunabr"
"Ctenomys flamarioni","Mammalia","Rodentia","Ctenomyidae","faunabr"
"Rhipidomys cariri","Mammalia","Rodentia","Cricetidae","faunabr"
"Thylamys velutinus","Mammalia","Didelphimorphia","Didelphidae","faunabr"
"Helicops angulatus","Reptilia","Squamata","Dipsadidae","faunabr"
"Lonchophylla dekeyseri","Mammalia","Chiroptera","Phyllostomidae","faunabr"
"Pithecopus nordestinus","Amphibia","Anura","Hylidae","faunabr"
"Bothrops otavioi","Reptilia","Squamata","Viperidae","faunabr"
"Dracaena paraguayensis","Reptilia","Squamata","Teiidae","faunabr"
"Phyllomys thomasi","Mammalia","Rodentia","Echimyidae","faunabr"
"Tupinambis palustris","Reptilia","Squamata","Teiidae","faunabr"
"Phyllomys mantiqueirensis","Mammalia","Rodentia","Echimyidae","faunabr"
"Trilepida brasiliensis","Reptilia","Squamata","Leptotyphlopidae","faunabr"
"Amphisbaena leucocephala","Reptilia","Squamata","Amphisbaenidae","faunabr"
"Tolypeutes tricinctus","Mammalia","Cingulata","Chlamyphoridae","faunabr"
"Molossus pretiosus","Mammalia","Chiroptera","Molossidae","faunabr"
"Micrurus filiformis","Reptilia","Squamata","Elapidae","faunabr"
"Leptodactylus pustulatus","Amphibia","Anura","Leptodactylidae","faunabr"
"Simophis rhinostoma","Reptilia","Squamata","Colubridae","faunabr"
"Callithrix flaviceps","Mammalia","Primates","Cebidae","faunabr"
"Rhynchonycteris naso","Mammalia","Chiroptera","Emballonuridae","faunabr"
"Leontopithecus rosalia","Mammalia","Primates","Cebidae","faunabr"
"Amphisbaena redleyi","Reptilia","Squamata","Amphisbaenidae","faunabr"
"Hydrodynastes bicinctus","Reptilia","Squamata","Dipsadidae","faunabr"
"Siagonodon septemstriatus","Reptilia","Squamata","Leptotyphlopidae","faunabr"
"Thalpomys lasiotis","Mammalia","Rodentia","Cricetidae","faunabr"
"Juliomys rimofrons","Mammalia","Rodentia","Cricetidae","faunabr"
"Monodelphis scalops","Mammalia","Didelphimorphia","Didelphidae","faunabr"
"Bothrops leucurus","Reptilia","Squamata","Viperidae","faunabr"
"Liotyphlops caissara","Reptilia","Squamata","Anomalepididae","faunabr"
"Tropidophis paucisquamis","Reptilia","Squamata","Tropidophiidae","faunabr"
"Monodelphis dimidiata","Mammalia","Didelphimorphia","Didelphidae","faunabr"
"Leptodactylus latinasus","Amphibia","Anura","Leptodactylidae","faunabr"
"Bothrops fonsecai","Reptilia","Squamata","Viperidae","faunabr"
"Brachycephalus bufonoides","Amphibia","Anura","Brachycephalidae","faunabr"
"Holochilus chacarius","Mammalia","Rodentia","Cricetidae","faunabr"
"Adenomera ajurauna","Amphibia","Anura","Leptodactylidae","faunabr"
"Liotyphlops schubarti","Reptilia","Squamata","Anomalepididae","faunabr"
"Amphisbaena frontalis","Reptilia","Squamata","Amphisbaenidae","faunabr"
"Amphisbaena carli","Reptilia","Squamata","Amphisbaenidae","faunabr"
"Fritziana goeldii","Amphibia","Anura","Hemiphractidae","faunabr"
"Phyllostomus elongatus","Mammalia","Chiroptera","Phyllostomidae","faunabr"
"Liotyphlops wilderi","Reptilia","Squamata","Anomalepididae","faunabr"
"Bothrops pirajai","Reptilia","Squamata","Viperidae","faunabr"
"Hylaeamys oniscus","Mammalia","Rodentia","Cricetidae","faunabr"
"Adenomera juikitam","Amphibia","Anura","Leptodactylidae","faunabr"
"Cerradomys goytaca","Mammalia","Rodentia","Cricetidae","faunabr"
"Bradypus torquatus","Mammalia","Pilosa","Bradypodidae","faunabr"
"Micrurus ibiboboca","Reptilia","Squamata","Elapidae","faunabr"
"Caluromys philander","Mammalia","Didelphimorphia","Didelphidae","faunabr"
"Echinanthera cephalomaculata","Reptilia","Squamata","Dipsadidae","faunabr"
"Allophryne relicta","Amphibia","Anura","Allophrynidae","faunabr"
"Trachemys adiutrix","Reptilia","Testudines","Emydidae","faunabr"
"Trilepida salgueiroi","Reptilia","Squamata","Leptotyphlopidae","faunabr"
"Calomys tener","Mammalia","Rodentia","Cricetidae","faunabr"
"Trinomys eliasi","Mammalia","Rodentia","Echimyidae","faunabr"
"Phyllomys lundi","Mammalia","Rodentia","Echimyidae","faunabr"
"Philodryas viridissima","Reptilia","Squamata","Dipsadidae","faunabr"
"Oxybelis fulgidus","Reptilia","Squamata","Colubridae","faunabr"
"Brachycephalus alipioi","Amphibia","Anura","Brachycephalidae","faunabr"
"Callithrix kuhlii","Mammalia","Primates","Cebidae","faunabr"
"Amphisbaena wiedi","Reptilia","Squamata","Amphisbaenidae","faunabr"
"Dendrophidion atlantica","Reptilia","Squamata","Colubridae","faunabr"
"Dipsas catesbyi","Reptilia","Squamata","Dipsadidae","faunabr"
"Micrurus brasiliensis","Reptilia","Squamata","Elapidae","faunabr"
"Pithecopus ayeaye","Amphibia","Anura","Hylidae","faunabr"
"Hylomantis granulosa","Amphibia","Anura","Hylidae","faunabr"
"Phyllomys pattoni","Mammalia","Rodentia","Echimyidae","faunabr"
"Trilepida jani","Reptilia","Squamata","Leptotyphlopidae","faunabr"
"Amphisbaena fuliginosa","Reptilia","Squamata","Amphisbaenidae","faunabr"
"Leptodactylus cunicularius","Amphibia","Anura","Leptodactylidae","faunabr"
"Trinycteris nicefori","Mammalia","Chiroptera","Phyllostomidae","faunabr"
"Echinanthera melanostigma","Reptilia","Squamata","Dipsadidae","faunabr"
"Thyroptera devivoi","Mammalia","Chiroptera","Thyropteridae","faunabr"
"Aotus azarae","Mammalia","Primates","Cebidae","faunabr"
"Oecomys trinitatis","Mammalia","Rodentia","Cricetidae","faunabr"
"Reithrodon typicus","Mammalia","Rodentia","Cricetidae","faunabr"
"Ameivula cyanura","Reptilia","Squamata","Teiidae","faunabr"
"Acanthochelys radiolata","Reptilia","Testudines","Chelidae","faunabr"
"Cryptonanus agricolai","Mammalia","Didelphimorphia","Didelphidae","faunabr"
"Bothrops marajoensis","Reptilia","Squamata","Viperidae","faunabr"
"Bothrops lutzi","Reptilia","Squamata","Viperidae","faunabr"
"Chiropotes satanas","Mammalia","Primates","Pitheciidae","faunabr"
"Diclidurus scutatus","Mammalia","Chiroptera","Emballonuridae","faunabr"
"Oligoryzomys moojeni","Mammalia","Rodentia","Cricetidae","faunabr"
"Leposternon cerradensis","Reptilia","Squamata","Amphisbaenidae","faunabr"
"Kunsia tomentosus","Mammalia","Rodentia","Cricetidae","faunabr"
"Leposternon octostegum","Reptilia","Squamata","Amphisbaenidae","faunabr"
"Dicotyles tajacu","Mammalia","Artiodactyla","Tayassuidae","faunabr"
"Amphisbaena anomala","Reptilia","Squamata","Amphisbaenidae","faunabr"
"Thrichomys laurentius","Mammalia","Rodentia","Echimyidae","faunabr"
"Leontopithecus chrysomelas","Mammalia","Primates","Cebidae","faunabr"
"Chaetomys subspinosus","Mammalia","Rodentia","Erethizontidae","faunabr"
"Bothrops erythromelas","Reptilia","Squamata","Viperidae","faunabr"
"Vampyriscus bidens","Mammalia","Chiroptera","Phyllostomidae","faunabr"
"Siphlophis longicaudatus","Reptilia","Squamata","Dipsadidae","faunabr"
"Choeroniscus minor","Mammalia","Chiroptera","Phyllostomidae","faunabr"
"Amphisbaena heathi","Reptilia","Squamata","Amphisbaenidae","faunabr"
"Acanthochelys macrocephala","Reptilia","Testudines","Chelidae","faunabr"
"Pithecopus hypochondrialis","Amphibia","Anura","Hylidae","faunabr"
"Dasypus novemcinctus","Mammalia","Cingulata","Dasypodidae","faunabr"
"Apostolepis longicaudata","Reptilia","Squamata","Dipsadidae","faunabr"
"Artibeus gnomus","Mammalia","Chiroptera","Phyllostomidae","faunabr"
"Makalata obscura","Mammalia","Rodentia","Echimyidae","faunabr"
"Leptodactylus camaquara","Amphibia","Anura","Leptodactylidae","faunabr"
"Phyllomys brasiliensis","Mammalia","Rodentia","Echimyidae","faunabr"
"Callithrix aurita","Mammalia","Primates","Cebidae","faunabr"
"Lepidochelys olivacea","Reptilia","Testudines","Cheloniidae","faunabr"
"Leptodactylus sertanejo","Amphibia","Anura","Leptodactylidae","faunabr"
"Epictia vellardi","Reptilia","Squamata","Leptotyphlopidae","faunabr"
"Amphisbaena steindachneri","Reptilia","Squamata","Amphisbaenidae","faunabr"
"Imantodes cenchoa","Reptilia","Squamata","Dipsadidae","faunabr"
"Adenomera engelsi","Amphibia","Anura","Leptodactylidae","faunabr"
"Hydrops martii","Reptilia","Squamata","Dipsadidae","faunabr"
"Amphisbaena amazonica","Reptilia","Squamata","Amphisbaenidae","faunabr"
"Epictia munoai","Reptilia","Squamata","Leptotyphlopidae","faunabr"
"Marmosa constantiae","Mammalia","Didelphimorphia","Didelphidae","faunabr"
"Adenomera hylaedactyla","Amphibia","Anura","Leptodactylidae","faunabr"
"Calomys callidus","Mammalia","Rodentia","Cricetidae","faunabr"
"Brucepattersonius griserufescens","Mammalia","Rodentia","Cricetidae","faunabr"
"Oecomys bicolor","Mammalia","Rodentia","Cricetidae","faunabr"
"Cerradomys langguthi","Mammalia","Rodentia","Cricetidae","faunabr"
"Cerradomys vivoi","Mammalia","Rodentia","Cricetidae","faunabr"
"Marmosops incanus","Mammalia","Didelphimorphia","Didelphidae","faunabr"
"Thamnodynastes longicaudus","Reptilia","Squamata","Dipsadidae","faunabr"
"Monodelphis kunsi","Mammalia","Didelphimorphia","Didelphidae","faunabr"
"Amphisbaena hogei","Reptilia","Squamata","Amphisbaenidae","faunabr"
"Gastrotheca albolineata","Amphibia","Anura","Hemiphractidae","faunabr"
"Dasypus septemcinctus","Mammalia","Cingulata","Dasypodidae","faunabr"
"Fritziana ohausi","Amphibia","Anura","Hemiphractidae","faunabr"
"Adenomera cotuba","Amphibia","Anura","Leptodactylidae","faunabr"
"Euryoryzomys nitidus","Mammalia","Rodentia","Cricetidae","faunabr"
"Amphisbaena supernumeraria","Reptilia","Squamata","Amphisbaenidae","faunabr"
"Thyroptera wynneae","Mammalia","Chiroptera","Thyropteridae","faunabr"
"Phalotris lativittatus","Reptilia","Squamata","Dipsadidae","faunabr"
"Apostolepis nelsonjorgei","Reptilia","Squamata","Dipsadidae","faunabr"
"Leposternon maximus","Reptilia","Squamata","Amphisbaenidae","faunabr"
"Clyomys laticeps","Mammalia","Rodentia","Echimyidae","faunabr"
"Psomophis genimaculatus","Reptilia","Squamata","Dipsadidae","faunabr"
"Wiedomys pyrrhorhinos","Mammalia","Rodentia","Cricetidae","faunabr"
"Rhagomys rufescens","Mammalia","Rodentia","Cricetidae","faunabr"
"Tantilla marcovani","Reptilia","Squamata","Colubridae","faunabr"
"Aplastodiscus flumineus","Amphibia","Anura","Hylidae","faunabr"
"Adenomera diptyx","Amphibia","Anura","Leptodactylidae","faunabr"
"Tropidophis grapiuna","Reptilia","Squamata","Tropidophiidae","faunabr"
"Apostolepis nigrolineata","Reptilia","Squamata","Dipsadidae","faunabr"
"Pipa carvalhoi","Amphibia","Anura","Pipidae","faunabr"
"Thrichomys pachyurus","Mammalia","Rodentia","Echimyidae","faunabr"
"Akodon sanctipaulensis","Mammalia","Rodentia","Cricetidae","faunabr"
"Cavia intermedia","Mammalia","Rodentia","Caviidae","faunabr"
"Cerradomys scotti","Mammalia","Rodentia","Cricetidae","faunabr"
"Bothrops atrox","Reptilia","Squamata","Viperidae","faunabr"
"Hydrurga leptonyx","Mammalia","Carnivora","Phocidae","faunabr"
"Cerradomys marinhus","Mammalia","Rodentia","Cricetidae","faunabr"
"Adenomera andreae","Amphibia","Anura","Leptodactylidae","faunabr"
"Aplastodiscus sibilatus","Amphibia","Anura","Hylidae","faunabr"
"Mustela africana","Mammalia","Carnivora","Mustelidae","faunabr"
"Ctenomys torquatus","Mammalia","Rodentia","Ctenomyidae","faunabr"
"Lonchophylla peracchii","Mammalia","Chiroptera","Phyllostomidae","faunabr"
"Callicebus personatus","Mammalia","Primates","Pitheciidae","faunabr"
"Sibon nebulatus","Reptilia","Squamata","Dipsadidae","faunabr"
"Thamnodynastes sertanejo","Reptilia","Squamata","Dipsadidae","faunabr"
"Thrichomys apereoides","Mammalia","Rodentia","Echimyidae","faunabr"
"Tropidophis preciosus","Reptilia","Squamata","Tropidophiidae","faunabr"
"Hydrops triangularis","Reptilia","Squamata","Dipsadidae","faunabr"
"Xenopholis scalaris","Reptilia","Squamata","Dipsadidae","faunabr"
"Tantilla boipiranga","Reptilia","Squamata","Colubridae","faunabr"
"Lophostoma carrikeri","Mammalia","Chiroptera","Phyllostomidae","faunabr"
"Marmosops paulensis","Mammalia","Didelphimorphia","Didelphidae","faunabr"
"Leposternon scutigerum","Reptilia","Squamata","Amphisbaenidae","faunabr"
"Rhipidomys itoan","Mammalia","Rodentia","Cricetidae","faunabr"
"Aplastodiscus albofrenatus","Amphibia","Anura","Hylidae","faunabr"
"Amphisbaena nigricauda","Reptilia","Squamata","Amphisbaenidae","faunabr"
"Lonchophylla bokermanni","Mammalia","Chiroptera","Phyllostomidae","faunabr"
"Gastrotheca megacephala","Amphibia","Anura","Hemiphractidae","faunabr"
"Amphisbaena arda","Reptilia","Squamata","Amphisbaenidae","faunabr"
"Amphisbaena kingii","Reptilia","Squamata","Amphisbaenidae","faunabr"
"Oligoryzomys stramineus","Mammalia","Rodentia","Cricetidae","faunabr"
"Akodon mystax","Mammalia","Rodentia","Cricetidae","faunabr"
"Micrurus surinamensis","Reptilia","Squamata","Elapidae","faunabr"
"Hylaeamys megacephalus","Mammalia","Rodentia","Cricetidae","faunabr"
"Amphisbaena lumbricalis","Reptilia","Squamata","Amphisbaenidae","faunabr"
"Mastigodryas bifossatus","Reptilia","Squamata","Colubridae","faunabr"
"Amphisbaena ibijara","Reptilia","Squamata","Amphisbaenidae","faunabr"
"Epictia clinorostris","Reptilia","Squamata","Leptotyphlopidae","faunabr"
"Holochilus sciureus","Mammalia","Rodentia","Cricetidae","faunabr"
"Ametrida centurio","Mammalia","Chiroptera","Phyllostomidae","faunabr"
"Tomodon ocellatus","Reptilia","Squamata","Dipsadidae","faunabr"
"Monodelphis domestica","Mammalia","Didelphimorphia","Didelphidae","faunabr"
"Lasiurus ebenus","Mammalia","Chiroptera","Vespertilionidae","faunabr"
"Cabassous unicinctus","Mammalia","Cingulata","Chlamyphoridae","faunabr"
"Vampyrum spectrum","Mammalia","Chiroptera","Phyllostomidae","faunabr"
"Aplastodiscus arildae","Amphibia","Anura","Hylidae","faunabr"
"Phalotris multipunctatus","Reptilia","Squamata","Dipsadidae","faunabr"
"Rhipidomys macrurus","Mammalia","Rodentia","Cricetidae","faunabr"
"Callicebus melanochir","Mammalia","Primates","Pitheciidae","faunabr"
"Xeronycteris vieirai","Mammalia","Chiroptera","Phyllostomidae","faunabr"
"Amphisbaena sanctaeritae","Reptilia","Squamata","Amphisbaenidae","faunabr"
"Cabassous chacoensis","Mammalia","Cingulata","Chlamyphoridae","faunabr"
"Leptodactylus caatingae","Amphibia","Anura","Leptodactylidae","faunabr"
"Rhinella dorbignyi","Amphibia","Anura","Bufonidae","faunabr"
"Aplastodiscus ibirapitanga","Amphibia","Anura","Hylidae","faunabr"
"Phalotris labiomaculatus","Reptilia","Squamata","Dipsadidae","faunabr"
"Leptodactylus tapiti","Amphibia","Anura","Leptodactylidae","faunabr"
"Amphisbaena carvalhoi","Reptilia","Squamata","Amphisbaenidae","faunabr"
"Leptodactylus bufonius","Amphibia","Anura","Leptodactylidae","faunabr"
"Dipsas pavonina","Reptilia","Squamata","Dipsadidae","faunabr"
"Apostolepis quirogai","Reptilia","Squamata","Dipsadidae","faunabr"
"Amphisbaena uroxena","Reptilia","Squamata","Amphisbaenidae","faunabr"
"Amphisbaena pretrei","Reptilia","Squamata","Amphisbaenidae","faunabr"
"Aotus infulatus","Mammalia","Primates","Cebidae","faunabr"
"Melanosuchus niger","Reptilia","Crocodylia","Alligatoridae","faunabr"
"Oecomys paricola","Mammalia","Rodentia","Cricetidae","faunabr"
"Anilius scytale","Reptilia","Squamata","Aniliidae","faunabr"
"Cavia magna","Mammalia","Rodentia","Caviidae","faunabr"
"Marmosa demerarae","Mammalia","Didelphimorphia","Didelphidae","faunabr"
"Apostolepis gaboi","Reptilia","Squamata","Dipsadidae","faunabr"
"Leptodactylus troglodytes","Amphibia","Anura","Leptodactylidae","faunabr"
"Bradypus variegatus","Mammalia","Pilosa","Bradypodidae","faunabr"
"Tolypeutes matacus","Mammalia","Cingulata","Chlamyphoridae","faunabr"
"Trinomys dimidiatus","Mammalia","Rodentia","Echimyidae","faunabr"
"Calomys laucha","Mammalia","Rodentia","Cricetidae","faunabr"
"Akodon toba","Mammalia","Rodentia","Cricetidae","faunabr"
"Leptodactylus vastus","Amphibia","Anura","Leptodactylidae","faunabr"
"Hylomantis aspera","Amphibia","Anura","Hylidae","faunabr"
"Gastrotheca fulvorufa","Amphibia","Anura","Hemiphractidae","faunabr"
"Helicops trivittatus","Reptilia","Squamata","Dipsadidae","faunabr"
"Thalpomys cerradensis","Mammalia","Rodentia","Cricetidae","faunabr"
"Gastrotheca ernestoi","Amphibia","Anura","Hemiphractidae","faunabr"
"Choloepus didactylus","Mammalia","Pilosa","Megalonychidae","faunabr"
"Ameivula confusioniba","Reptilia","Squamata","Teiidae","faunabr"
"Adenomera thomei","Amphibia","Anura","Leptodactylidae","faunabr"
"Apostolepis intermedia","Reptilia","Squamata","Dipsadidae","faunabr"
"Phyllomys lamarum","Mammalia","Rodentia","Echimyidae","faunabr"
"Phyllomys blainvilii","Mammalia","Rodentia","Echimyidae","faunabr"
"Brachycephalus crispus","Amphibia","Anura","Brachycephalidae","faunabr"
"Bothrops pubescens","Reptilia","Squamata","Viperidae","faunabr"
"Trichechus manatus","Mammalia","Sirenia","Trichechidae","faunabr"
"Otaria flavescens","Mammalia","Carnivora","Otariidae","faunabr"
"Saimiri collinsi","Mammalia","Primates","Cebidae","faunabr"
"Uroderma magnirostrum","Mammalia","Chiroptera","Phyllostomidae","faunabr"
"Pithecopus oreades","Amphibia","Anura","Hylidae","faunabr"
"Drymoluber dichrous","Reptilia","Squamata","Colubridae","faunabr"
"Cryptonanus chacoensis","Mammalia","Didelphimorphia","Didelphidae","faunabr"
"Ameivula cipoensis","Reptilia","Squamata","Teiidae","faunabr"
"Oxymycterus caparaoe","Mammalia","Rodentia","Cricetidae","faunabr"
"Kerodon rupestris","Mammalia","Rodentia","Caviidae","faunabr"
"Lophostoma brasiliense","Mammalia","Chiroptera","Phyllostomidae","faunabr"
"Phalotris reticulatus","Reptilia","Squamata","Dipsadidae","faunabr"
"Micrurus paraensis","Reptilia","Squamata","Elapidae","faunabr"
"Aplastodiscus cavicola","Amphibia","Anura","Hylidae","faunabr"
