"species","class","order","family","source"
"Bothrops insularis","Reptilia","Squamata","Viperidae","faunabr"
"Epictia borapeliotes","Reptilia","Squamata","Leptotyphlopidae","faunabr"
"Potos flavus","Mammalia","Carnivora","Procyonidae","faunabr"
"Proechimys longicaudatus","Mammalia","Rodentia","Echimyidae","faunabr"
"Brachyteles hypoxanthus","Mammalia","Primates","Atelidae","faunabr"
"Leptodactylus marambaiae","Amphibia","Anura","Leptodactylidae","faunabr"
"Micrurus potyguara","Reptilia","Squamata","Elapidae","faunabr"
"Melanophryniscus klappenbachi","Amphibia","Anura","Bufonidae","faunabr"
"Mesophylla macconnelli","Mammalia","Chiroptera","Phyllostomidae","faunabr"
"Liotyphlops trefauti","Reptilia","Squamata","Anomalepididae","faunabr"
"Nectomys rattus","Mammalia","Rodentia","Cricetidae","faunabr"
"Dactylomys dactylinus","Mammalia","Rodentia","Echimyidae","faunabr"
"Phaenomys ferrugineus","Mammalia","Rodentia","Cricetidae","faunabr"
"Siphlophis cervinus","Reptilia","Squamata","Dipsadidae","faunabr"
"Echimys chrysurus","Mammalia","Rodentia","Echimyidae","faunabr"
"Aplastodiscus musicus","Amphibia","Anura","Hylidae","faunabr"
"Amphisbaena ignatiana","Reptilia","Squamata","Amphisbaenidae","faunabr"
"Leposternon kisteumacheri","Reptilia","Squamata","Amphisbaenidae","faunabr"
"Amphisbaena hastata","Reptilia","Squamata","Amphisbaenidae","faunabr"
"Pithecopus azureus","Amphibia","Anura","Hylidae","faunabr"
"Lachesis muta","Reptilia","Squamata","Viperidae","faunabr"
"Dipsas sazimai","Reptilia","Squamata","Dipsadidae","faunabr"
"Drymoluber brazili","Reptilia","Squamata","Colubridae","faunabr"
"Bothrops muriciensis","Reptilia","Squamata","Viperidae","faunabr"
"Scapteromys tumidus","Mammalia","Rodentia","Cricetidae","faunabr"
"Thamnodynastes almae","Reptilia","Squamata","Dipsadidae","faunabr"
"Corallus cropani","Reptilia","Squamata","Boidae","faunabr"
"Lonchophylla mordax","Mammalia","Chiroptera","Phyllostomidae","faunabr"
"Alouatta belzebul","Mammalia","Primates","Atelidae","faunabr"
"Galea spixii","Mammalia","Rodentia","Caviidae","faunabr"
"Dracaena guianensis","Reptilia","Squamata","Teiidae","faunabr"
"Monodelphis unistriata","Mammalia","Didelphimorphia","Didelphidae","faunabr"
"Psomophis joberti","Reptilia","Squamata","Dipsadidae","faunabr"
"Calomys expulsus","Mammalia","Rodentia","Cricetidae","faunabr"
"Galea flavidens","Mammalia","Rodentia","Caviidae","faunabr"
"Sibynomorphus neuwiedi","Reptilia","Squamata","Dipsadidae","faunabr"
"Apostolepis polylepis","Reptilia","Squamata","Dipsadidae","faunabr"
"Oecomys mamorae","Mammalia","Rodentia","Cricetidae","faunabr"
"Lundomys molitor","Mammalia","Rodentia","Cricetidae","faunabr"
"Boiruna sertaneja","Reptilia","Squamata","Dipsadidae","faunabr"
"Apostolepis flavotorquata","Reptilia","Squamata","Dipsadidae","faunabr"
"Ctenomys lami","Mammalia","Rodentia","Ctenomyidae","faunabr"
"Calomys cerqueirai","Mammalia","Rodentia","Cricetidae","faunabr"
"Leptodactylus oreomantis","Amphibia","Anura","Leptodactylidae","faunabr"
"Bothrops marmoratus","Reptilia","Squamata","Viperidae","faunabr"
"Xenopholis werdingorum","Reptilia","Squamata","Dipsadidae","faunabr"
"Akodon lindberghi","Mammalia","Rodentia","Cricetidae","faunabr"
"Apostolepis albicollaris","Reptilia","Squamata","Dipsadidae","faunabr"
"Amphisbaena mitchelli","Reptilia","Squamata","Amphisbaenidae","faunabr"
"Dendrophidion dendrophis","Reptilia","Squamata","Colubridae","faunabr"
"Oecomys catherinae","Mammalia","Rodentia","Cricetidae","faunabr"
"Neoplatymops mattogrossensis","Mammalia","Chiroptera","Molossidae","faunabr"
"Amphisbaena anaemariae","Reptilia","Squamata","Amphisbaenidae","faunabr"
"Thylamys karimii","Mammalia","Didelphimorphia","Didelphidae","faunabr"
"Trinomys paratus","Mammalia","Rodentia","Echimyidae","faunabr"
"Trinomys mirapitanga","Mammalia","Rodentia","Echimyidae","faunabr"
"Eretmochelys imbricata","Reptilia","Testudines","Cheloniidae","faunabr"
"Calamodontophis paucidens","Reptilia","Squamata","Dipsadidae","faunabr"
"Amphisbaena bahiana","Reptilia","Squamata","Amphisbaenidae","faunabr"
"Thamnodynastes lanei","Reptilia","Squamata","Dipsadidae","faunabr"
"Leptodactylus spixi","Amphibia","Anura","Leptodactylidae","faunabr"
"Cerradomys subflavus","Mammalia","Rodentia","Cricetidae","faunabr"
"Coronelaps lepidus","Reptilia","Squamata","Dipsadidae","faunabr"
"Kerodon acrobata","Mammalia","Rodentia","Caviidae","faunabr"
"Callistomys pictus","Mammalia","Rodentia","Echimyidae","faunabr"
"Cynomops greenhalli","Mammalia","Chiroptera","Molossidae","faunabr"
"Apostolepis cerradoensis","Reptilia","Squamata","Dipsadidae","faunabr"
"Pseudoryzomys simplex","Mammalia","Rodentia","Cricetidae","faunabr"
"Pithecopus rohdei","Amphibia","Anura","Hylidae","faunabr"
"Wiedomys cerradensis","Mammalia","Rodentia","Cricetidae","faunabr"
"Leptodactylus flavopictus","Amphibia","Anura","Leptodactylidae","faunabr"
"Rhinophylla pumilio","Mammalia","Chiroptera","Phyllostomidae","faunabr"
"Amphisbaena munoai","Reptilia","Squamata","Amphisbaenidae","faunabr"
"Ischnocnema manezinho","Amphibia","Anura","Brachycephalidae","faunabr"
"Adenomera saci","Amphibia","Anura","Leptodactylidae","faunabr"
"Taeniophallus poecilopogon","Reptilia","Squamata","Dipsadidae","faunabr"
"Hydrodynastes melanogigas","Reptilia","Squamata","Dipsadidae","faunabr"
"Coendou insidiosus","Mammalia","Rodentia","Erethizontidae","faunabr"
"Leposternon wuchereri","Reptilia","Squamata","Amphisbaenidae","faunabr"
"Leopardus braccatus","Mammalia","Carnivora","Felidae","faunabr"
"Bothrops mattogrossensis","Reptilia","Squamata","Viperidae","faunabr"
"Thamnodynastes chaquensis","Reptilia","Squamata","Dipsadidae","faunabr"
"Siphlophis compressus","Reptilia","Squamata","Dipsadidae","faunabr"
"Thylamys macrurus","Mammalia","Didelphimorphia","Didelphidae","faunabr"
"Pithecopus centralis","Amphibia","Anura","Hylidae","faunabr"
"Helicops polylepis","Reptilia","Squamata","Dipsadidae","faunabr"
"Leptodactylus jolyi","Amphibia","Anura","Leptodactylidae","faunabr"
"Leposternon infraorbitale","Reptilia","Squamata","Amphisbaenidae","faunabr"
"Hydrops caesurus","Reptilia","Squamata","Dipsadidae","faunabr"
"Calassomys apicalis","Mammalia","Rodentia","Cricetidae","faunabr"
"Delomys altimontanus","Mammalia","Rodentia","Cricetidae","faunabr"
"Carterodon sulcidens","Mammalia","Rodentia","Echimyidae","faunabr"
"Amphisbaena metallurga","Reptilia","Squamata","Amphisbaenidae","faunabr"
"Coendou speratus","Mammalia","Rodentia","Erethizontidae","faunabr"
"Ctenomys ibicuiensis","Mammalia","Rodentia","Ctenomyidae","faunabr"
"Scapteromys aquaticus","Mammalia","Rodentia","Cricetidae","faunabr"
"Marmosa murina","Mammalia","Didelphimorphia","Didelphidae","faunabr"
"Amerotyphlops amoipira","Reptilia","Squamata","Typhlopidae","faunabr"
"Amerotyphlops paucisquamus","Reptilia","Squamata","Typhlopidae","faunabr"
"Amerotyphlops reticulatus","Reptilia","Squamata","Typhlopidae","faunabr"
"Amerotyphlops arenensis","Reptilia","Squamata","Typhlopidae","faunabr"
"Amerotyphlops yonenagae","Reptilia","Squamata","Typhlopidae","faunabr"
"Amphisbaena persephone","Reptilia","Squamata","Amphisbaenidae","faunabr"
"Dasyprocta iacki","Mammalia","Rodentia","Dasyproctidae","faunabr"
"Oligoryzomys mattogrossae","Mammalia","Rodentia","Cricetidae","faunabr"
"Trinomys gratiosus","Mammalia","Rodentia","Echimyidae","faunabr"
"Cerradomys akroai","Mammalia","Rodentia","Cricetidae","faunabr"
"Coendou baturitensis","Mammalia","Rodentia","Erethizontidae","faunabr"
"Amphisbaena filiformis","Reptilia","Squamata","Amphisbaenidae","faunabr"
"Tupinambis matipu","Reptilia","Squamata","Teiidae","faunabr"
"Leposternon mineiro","Reptilia","Squamata","Amphisbaenidae","faunabr"
"Amphisbaena acangoaba","Reptilia","Squamata","Amphisbaenidae","faunabr"
"Amphisbaena arenicola","Reptilia","Squamata","Amphisbaenidae","faunabr"
"Amphisbaena caetitensis","Reptilia","Squamata","Amphisbaenidae","faunabr"
"Philander canus","Mammalia","Didelphimorphia","Didelphidae","faunabr"
"Philander quica","Mammalia","Didelphimorphia","Didelphidae","faunabr"
"Marmosa limae","Mammalia","Didelphimorphia","Didelphidae","faunabr"
"Marmosa rapposa","Mammalia","Didelphimorphia","Didelphidae","faunabr"
"Monodelphis pinocchio","Mammalia","Didelphimorphia","Didelphidae","faunabr"
"Holochilus nanus","Mammalia","Rodentia","Cricetidae","faunabr"
"Holochilus oxe","Mammalia","Rodentia","Cricetidae","faunabr"
"Akodon kadiweu","Mammalia","Rodentia","Cricetidae","faunabr"
"Brucepattersonius nebulosus","Mammalia","Rodentia","Cricetidae","faunabr"
"Deltamys araucaria","Mammalia","Rodentia","Cricetidae","faunabr"
"Amphisbaena hiata","Reptilia","Squamata","Amphisbaenidae","faunabr"
"Amphisbaena kiriri","Reptilia","Squamata","Amphisbaenidae","faunabr"
"Oecomys franciscorum","Mammalia","Rodentia","Cricetidae","faunabr"
"Calomys mattevii","Mammalia","Rodentia","Cricetidae","faunabr"
"Amphisbaena longigua","Reptilia","Squamata","Amphisbaenidae","faunabr"
"Amphisbaena mongoyo","Reptilia","Squamata","Amphisbaenidae","faunabr"
"Amphisbaena mebengokre","Reptilia","Squamata","Amphisbaenidae","faunabr"
"Amphisbaena nana","Reptilia","Squamata","Amphisbaenidae","faunabr"
"Amphisbaena tiaraju","Reptilia","Squamata","Amphisbaenidae","faunabr"
"Sturnira giannae","Mammalia","Chiroptera","Phyllostomidae","faunabr"
"Cabassous squamicaudis","Mammalia","Cingulata","Chlamyphoridae","faunabr"
"Juliomys ximenezi","Mammalia","Rodentia","Cricetidae","faunabr"
"Dasyprocta prymnolopha","Mammalia","Rodentia","Dasyproctidae","faunabr"
"Coendou longicaudatus","Mammalia","Rodentia","Erethizontidae","faunabr"
"Bradypus crinitus","Mammalia","Pilosa","Bradypodidae","faunabr"
"Phyllomys centralis","Mammalia","Rodentia","Echimyidae","faunabr"
"Thrichomys fosteri","Mammalia","Rodentia","Echimyidae","faunabr"
"Pithecopus gonzagai","Amphibia","Anura","Hylidae","faunabr"
"Phasmahyla lisbella","Amphibia","Anura","Hylidae","faunabr"
"Phrynomedusa dryade","Amphibia","Anura","Hylidae","faunabr"
"Euryoryzomys cerqueirai","Mammalia","Rodentia","Cricetidae","faunabr"
"Passalites nemorivagus","Mammalia","Artiodactyla","Cervidae","faunabr"
"Eumops chimaera","Mammalia","Chiroptera","Molossidae","faunabr"
"Amadonastur lacernulatus","Aves","Accipitriformes","Accipitridae","faunabr"
"Helicolestes hamatus","Aves","Accipitriformes","Accipitridae","faunabr"
"Heterospizias meridionalis","Aves","Accipitriformes","Accipitridae","faunabr"
"Leptodon forbesi","Aves","Accipitriformes","Accipitridae","faunabr"
"Pseudastur polionotus","Aves","Accipitriformes","Accipitridae","faunabr"
"Urubitinga coronata","Aves","Accipitriformes","Accipitridae","faunabr"
"Heteronetta atricapilla","Aves","Anseriformes","Anatidae","faunabr"
"Neochen jubata","Aves","Anseriformes","Anatidae","faunabr"
"Anopetia gounellei","Aves","Apodiformes","Trochilidae","faunabr"
"Glaucis dohrnii","Aves","Apodiformes","Trochilidae","faunabr"
"Phaethornis idaliae","Aves","Apodiformes","Trochilidae","faunabr"
"Phaethornis maranhaoensis","Aves","Apodiformes","Trochilidae","faunabr"
"Phaethornis subochraceus","Aves","Apodiformes","Trochilidae","faunabr"
"Augastes lumachella","Aves","Apodiformes","Trochilidae","faunabr"
"Avocettula recurvirostris","Aves","Apodiformes","Trochilidae","faunabr"
"Campylopterus calcirupicola","Aves","Apodiformes","Trochilidae","faunabr"
"Campylopterus diamantinensis","Aves","Apodiformes","Trochilidae","faunabr"
"Campylopterus obscurus","Aves","Apodiformes","Trochilidae","faunabr"
"Discosura longicaudus","Aves","Apodiformes","Trochilidae","faunabr"
"Heliactin bilophus","Aves","Apodiformes","Trochilidae","faunabr"
"Heliodoxa rubricauda","Aves","Apodiformes","Trochilidae","faunabr"
"Heliomaster squamosus","Aves","Apodiformes","Trochilidae","faunabr"
"Lophornis gouldii","Aves","Apodiformes","Trochilidae","faunabr"
"Thalurania watertonii","Aves","Apodiformes","Trochilidae","faunabr"
"Hydropsalis anomala","Aves","Caprimulgiformes","Caprimulgidae","faunabr"
"Hydropsalis candicans","Aves","Caprimulgiformes","Caprimulgidae","faunabr"
"Hydropsalis parvula","Aves","Caprimulgiformes","Caprimulgidae","faunabr"
"Nyctiprogne vielliardi","Aves","Caprimulgiformes","Caprimulgidae","faunabr"
"Cathartes melambrotus","Aves","Cathartiformes","Cathartidae","faunabr"
"Charadrius falklandicus","Aves","Charadriiformes","Charadriidae","faunabr"
"Vanellus cayanus","Aves","Charadriiformes","Charadriidae","faunabr"
"Leucophaeus modestus","Aves","Charadriiformes","Laridae","faunabr"
"Himantopus melanurus","Aves","Charadriiformes","Recurvirostridae","faunabr"
"Calidris mauri","Aves","Charadriiformes","Scolopacidae","faunabr"
"Gallinago paraguaiae","Aves","Charadriiformes","Scolopacidae","faunabr"
"Limosa fedoa","Aves","Charadriiformes","Scolopacidae","faunabr"
"Tringa inornata","Aves","Charadriiformes","Scolopacidae","faunabr"
"Columbina cyanopis","Aves","Columbiformes","Columbidae","faunabr"
"Coccyzus erythropthalmus","Aves","Cuculiformes","Cuculidae","faunabr"
"Coccyzus minor","Aves","Cuculiformes","Cuculidae","faunabr"
"Micrococcyx cinereus","Aves","Cuculiformes","Cuculidae","faunabr"
"Daptrius ater","Aves","Falconiformes","Falconidae","faunabr"
"Ibycter americanus","Aves","Falconiformes","Falconidae","faunabr"
"Micrastur mintoni","Aves","Falconiformes","Falconidae","faunabr"
"Micrastur mirandollei","Aves","Falconiformes","Falconidae","faunabr"
"Bucco capensis","Aves","Galbuliformes","Bucconidae","faunabr"
"Malacoptila minor","Aves","Galbuliformes","Bucconidae","faunabr"
"Nonnula amaurocephala","Aves","Galbuliformes","Bucconidae","faunabr"
"Nystalus maculatus","Aves","Galbuliformes","Bucconidae","faunabr"
"Nystalus striatipectus","Aves","Galbuliformes","Bucconidae","faunabr"
"Nystalus torridus","Aves","Galbuliformes","Bucconidae","faunabr"
"Jacamaralcyon tridactyla","Aves","Galbuliformes","Galbulidae","faunabr"
"Aburria jacutinga","Aves","Galliformes","Cracidae","faunabr"
"Crax blumenbachii","Aves","Galliformes","Cracidae","faunabr"
"Ortalis araucuan","Aves","Galliformes","Cracidae","faunabr"
"Ortalis remota","Aves","Galliformes","Cracidae","faunabr"
"Ortalis superciliaris","Aves","Galliformes","Cracidae","faunabr"
"Pauxi mitu","Aves","Galliformes","Cracidae","faunabr"
"Pauxi tuberosa","Aves","Galliformes","Cracidae","faunabr"
"Penelope jacucaca","Aves","Galliformes","Cracidae","faunabr"
"Penelope ochrogaster","Aves","Galliformes","Cracidae","faunabr"
"Penelope pileata","Aves","Galliformes","Cracidae","faunabr"
"Psophia napensis","Aves","Gruiformes","Psophiidae","faunabr"
"Psophia obscura","Aves","Gruiformes","Psophiidae","faunabr"
"Laterallus jamaicensis","Aves","Gruiformes","Rallidae","faunabr"
"Laterallus spiloptera","Aves","Gruiformes","Rallidae","faunabr"
"Paragallinula angulata","Aves","Gruiformes","Rallidae","faunabr"
"Nyctibius leucopterus","Aves","Nyctibiiformes","Nyctibiidae","faunabr"
"Opisthocomus hoazin","Aves","Opisthocomiformes","Opisthocomidae","faunabr"
"Caryothraustes brasiliensis","Aves","Passeriformes","Cardinalidae","faunabr"
"Periporphyrus erythromelas","Aves","Passeriformes","Cardinalidae","faunabr"
"Conopophaga cearae","Aves","Passeriformes","Conopophagidae","faunabr"
"Conopophaga roberti","Aves","Passeriformes","Conopophagidae","faunabr"
"Cyanocorax cyanopogon","Aves","Passeriformes","Corvidae","faunabr"
"Cotinga maculata","Aves","Passeriformes","Cotingidae","faunabr"
"Lipaugus ater","Aves","Passeriformes","Cotingidae","faunabr"
"Lipaugus conditus","Aves","Passeriformes","Cotingidae","faunabr"
"Lipaugus vociferans","Aves","Passeriformes","Cotingidae","faunabr"
"Xipholena atropurpurea","Aves","Passeriformes","Cotingidae","faunabr"
"Xipholena lamellipennis","Aves","Passeriformes","Cotingidae","faunabr"
"Phoenicircus carnifex","Aves","Passeriformes","Cotingidae","faunabr"
"Phoenicircus nigricollis","Aves","Passeriformes","Cotingidae","faunabr"
"Dendrocolaptes medius","Aves","Passeriformes","Dendrocolaptidae","faunabr"
"Drymornis bridgesii","Aves","Passeriformes","Dendrocolaptidae","faunabr"
"Lepidocolaptes layardi","Aves","Passeriformes","Dendrocolaptidae","faunabr"
"Lepidocolaptes wagleri","Aves","Passeriformes","Dendrocolaptidae","faunabr"
"Nasica longirostris","Aves","Passeriformes","Dendrocolaptidae","faunabr"
"Xiphorhynchus atlanticus","Aves","Passeriformes","Dendrocolaptidae","faunabr"
"Xiphorhynchus spixii","Aves","Passeriformes","Dendrocolaptidae","faunabr"
"Dendrocincla taunayi","Aves","Passeriformes","Dendrocolaptidae","faunabr"
"Dendrocincla turdina","Aves","Passeriformes","Dendrocolaptidae","faunabr"
"Spinus yarrellii","Aves","Passeriformes","Fringillidae","faunabr"
"Euphonia cayennensis","Aves","Passeriformes","Fringillidae","faunabr"
"Berlepschia rikeri","Aves","Passeriformes","Furnariidae","faunabr"
"Cinclodes fuscus","Aves","Passeriformes","Furnariidae","faunabr"
"Cinclodes pabsti","Aves","Passeriformes","Furnariidae","faunabr"
"Limnornis curvirostris","Aves","Passeriformes","Furnariidae","faunabr"
"Anabacerthia lichtensteini","Aves","Passeriformes","Furnariidae","faunabr"
"Automolus lammi","Aves","Passeriformes","Furnariidae","faunabr"
"Automolus paraensis","Aves","Passeriformes","Furnariidae","faunabr"
"Cichlocolaptes mazarbarnetti","Aves","Passeriformes","Furnariidae","faunabr"
"Clibanornis rectirostris","Aves","Passeriformes","Furnariidae","faunabr"
"Megaxenops parnáguae","Aves","Passeriformes","Furnariidae","faunabr"
"Philydor pyrrhodes","Aves","Passeriformes","Furnariidae","faunabr"
"Syndactyla dimidiata","Aves","Passeriformes","Furnariidae","faunabr"
"Acrobatornis fonsecai","Aves","Passeriformes","Furnariidae","faunabr"
"Asthenes moreirae","Aves","Passeriformes","Furnariidae","faunabr"
"Limnoctites rectirostris","Aves","Passeriformes","Furnariidae","faunabr"
"Phacellodomus ferrugineigula","Aves","Passeriformes","Furnariidae","faunabr"
"Phacellodomus sibilatrix","Aves","Passeriformes","Furnariidae","faunabr"
"Pseudoseisura cristata","Aves","Passeriformes","Furnariidae","faunabr"
"Synallaxis albilora","Aves","Passeriformes","Furnariidae","faunabr"
"Synallaxis cinerea","Aves","Passeriformes","Furnariidae","faunabr"
"Synallaxis hellmayri","Aves","Passeriformes","Furnariidae","faunabr"
"Synallaxis infuscata","Aves","Passeriformes","Furnariidae","faunabr"
"Synallaxis simoni","Aves","Passeriformes","Furnariidae","faunabr"
"Thripophaga macroura","Aves","Passeriformes","Furnariidae","faunabr"
"Cryptopezus nattereri","Aves","Passeriformes","Grallariidae","faunabr"
"Hylopezus ochroleucus","Aves","Passeriformes","Grallariidae","faunabr"
"Hylopezus paraensis","Aves","Passeriformes","Grallariidae","faunabr"
"Pygochelidon melanoleuca","Aves","Passeriformes","Hirundinidae","faunabr"
"Agelaioides fringillarius","Aves","Passeriformes","Icteridae","faunabr"
"Anumara forbesi","Aves","Passeriformes","Icteridae","faunabr"
"Icterus jamacaii","Aves","Passeriformes","Icteridae","faunabr"
"Leistes defilippii","Aves","Passeriformes","Icteridae","faunabr"
"Leistes militaris","Aves","Passeriformes","Icteridae","faunabr"
"Pseudoleistes virescens","Aves","Passeriformes","Icteridae","faunabr"
"Xanthopsar flavus","Aves","Passeriformes","Icteridae","faunabr"
"Onychorhynchus swainsoni","Aves","Passeriformes","Onychorhynchidae","faunabr"
"Myiothlypis leucophrys","Aves","Passeriformes","Parulidae","faunabr"
"Setophaga cerulea","Aves","Passeriformes","Parulidae","faunabr"
"Arremon franciscanus","Aves","Passeriformes","Passerellidae","faunabr"
"Arremon polionotus","Aves","Passeriformes","Passerellidae","faunabr"
"Arremon taciturnus","Aves","Passeriformes","Passerellidae","faunabr"
"Antilophia bokermanni","Aves","Passeriformes","Pipridae","faunabr"
"Chiroxiphia pareola","Aves","Passeriformes","Pipridae","faunabr"
"Neopelma aurifrons","Aves","Passeriformes","Pipridae","faunabr"
"Neopelma pallescens","Aves","Passeriformes","Pipridae","faunabr"
"Ceratopipra rubrocapilla","Aves","Passeriformes","Pipridae","faunabr"
"Machaeropterus regulus","Aves","Passeriformes","Pipridae","faunabr"
"Calyptura cristata","Aves","Passeriformes","Platyrinchidae","faunabr"
"Polioptila atricapilla","Aves","Passeriformes","Polioptilidae","faunabr"
"Polioptila innotata","Aves","Passeriformes","Polioptilidae","faunabr"
"Polioptila parvirostris","Aves","Passeriformes","Polioptilidae","faunabr"
"Polioptila plumbea","Aves","Passeriformes","Polioptilidae","faunabr"
"Merulaxis stresemanni","Aves","Passeriformes","Rhinocryptidae","faunabr"
"Scytalopus gonzagai","Aves","Passeriformes","Rhinocryptidae","faunabr"
"Scytalopus petrophilus","Aves","Passeriformes","Rhinocryptidae","faunabr"
"Phylloscartes beckeri","Aves","Passeriformes","Rhynchocyclidae","faunabr"
"Phylloscartes ceciliae","Aves","Passeriformes","Rhynchocyclidae","faunabr"
"Phylloscartes roquettei","Aves","Passeriformes","Rhynchocyclidae","faunabr"
"Hemitriccus furcatus","Aves","Passeriformes","Rhynchocyclidae","faunabr"
"Hemitriccus mirandae","Aves","Passeriformes","Rhynchocyclidae","faunabr"
"Lophotriccus galeatus","Aves","Passeriformes","Rhynchocyclidae","faunabr"
"Geositta poeciloptera","Aves","Passeriformes","Scleruridae","faunabr"
"Sclerurus cearensis","Aves","Passeriformes","Scleruridae","faunabr"
"Cercomacra brasiliana","Aves","Passeriformes","Thamnophilidae","faunabr"
"Cercomacra ferdinandi","Aves","Passeriformes","Thamnophilidae","faunabr"
"Cercomacra melanaria","Aves","Passeriformes","Thamnophilidae","faunabr"
"Drymophila genei","Aves","Passeriformes","Thamnophilidae","faunabr"
"Dysithamnus plumbeus","Aves","Passeriformes","Thamnophilidae","faunabr"
"Formicivora acutirostris","Aves","Passeriformes","Thamnophilidae","faunabr"
"Formicivora erythronotos","Aves","Passeriformes","Thamnophilidae","faunabr"
"Formicivora grantsaui","Aves","Passeriformes","Thamnophilidae","faunabr"
"Formicivora iheringi","Aves","Passeriformes","Thamnophilidae","faunabr"
"Formicivora littoralis","Aves","Passeriformes","Thamnophilidae","faunabr"
"Formicivora paludícola","Aves","Passeriformes","Thamnophilidae","faunabr"
"Herpsilochmus pectoralis","Aves","Passeriformes","Thamnophilidae","faunabr"
"Herpsilochmus pileatus","Aves","Passeriformes","Thamnophilidae","faunabr"
"Myrmoderus loricatus","Aves","Passeriformes","Thamnophilidae","faunabr"
"Myrmoderus squamosus","Aves","Passeriformes","Thamnophilidae","faunabr"
"Myrmotherula fluminensis","Aves","Passeriformes","Thamnophilidae","faunabr"
"Myrmotherula snowi","Aves","Passeriformes","Thamnophilidae","faunabr"
"Myrmotherula urosticta","Aves","Passeriformes","Thamnophilidae","faunabr"
"Pyriglena atra","Aves","Passeriformes","Thamnophilidae","faunabr"
"Pyriglena pernambucensis","Aves","Passeriformes","Thamnophilidae","faunabr"
"Radinopsyche sellowi","Aves","Passeriformes","Thamnophilidae","faunabr"
"Sakesphoroides cristatus","Aves","Passeriformes","Thamnophilidae","faunabr"
"Sakesphorus luctuosus","Aves","Passeriformes","Thamnophilidae","faunabr"
"Terenura sicki","Aves","Passeriformes","Thamnophilidae","faunabr"
"Thamnophilus ambiguus","Aves","Passeriformes","Thamnophilidae","faunabr"
"Thamnophilus capistratus","Aves","Passeriformes","Thamnophilidae","faunabr"
"Thamnophilus sticturus","Aves","Passeriformes","Thamnophilidae","faunabr"
"Thamnophilus torquatus","Aves","Passeriformes","Thamnophilidae","faunabr"
"Charitospiza eucosma","Aves","Passeriformes","Thraupidae","faunabr"
